type_of_house,living_space,number_of_rooms,rent,construction_year,street,zipcode,region,tag
Etagenwohnung,84,3,1360,,,60388,"Frankfurt am Main, Bergen-Enkheim",/expose/114553753
Etagenwohnung,54,2,565,1955,Waldschmidtstraße 85,60314,"Frankfurt am Main, Ostend",/expose/114557243
,30,1,565,,Theobald-Christ-Straße 11,60316,"Frankfurt am Main, Ostend",/expose/114550244
Etagenwohnung,62,2,800,,Schneidhainer Straße 6,61462,"Königstein im Taunus, Hochtaunuskreis",/expose/114550707
Erdgeschosswohnung,99,3,1190,1968,,64546,"Mörfelden, Mörfelden-Walldorf",/expose/114552459
Etagenwohnung,38,1,919,1970,,55116,"Mainz, Altstadt",/expose/114550318
Etagenwohnung,48,1,1050,2014,Gerbermühlstraße 25,60594,"Frankfurt am Main, Sachsenhausen-Nord",/expose/114556984
,89,3,1391,2015,Speicherstraße 26,60327,"Frankfurt am Main, Gutleutviertel",/expose/114554529
,112,4,1480,1925,,61184,"Karben, Wetteraukreis",/expose/114556788
,40,2,820,1975,,60318,"Frankfurt am Main, Nordend-West",/expose/114550604
Etagenwohnung,54,2,790,1996,,61118,"Bad Vilbel, Wetteraukreis",/expose/114554663
Etagenwohnung,115,4,1360,,Frankfurter Str. 44,63065,"Offenbach am Main, Stadtmitte",/expose/114551007
Etagenwohnung,90,3,1300,1760,Frankfurter Straße 44,63065,"Offenbach am Main, Stadtmitte",/expose/114550472
Etagenwohnung,60,3,1400,,Lange Straße 20,60311,"Frankfurt am Main, Innenstadt",/expose/114555383
Etagenwohnung,66,2,990,1900,Taunusstr. 43,63067,"Offenbach, Stadtmitte",/expose/114557261
,111,3,1501,2016,Saonestraße 17,60528,"Frankfurt am Main, Niederrad",/expose/114554533
,105,3,1606,2016,Saonestraße 13,60528,"Frankfurt am Main, Niederrad",/expose/114554532
Dachgeschoss,25,1,525,,Heidelberger Straße 81B,64285,"Darmstadt, Bessungen",/expose/114551290
Etagenwohnung,202,5,3350,1720,,60528,"Frankfurt, Niederrad",/expose/114554492
Etagenwohnung,138,,1980,2001,,65812,"Bad Soden, Bad Soden am Taunus",/expose/114550189
Etagenwohnung,84,3,1360,,,60388,"Frankfurt am Main, Bergen-Enkheim",/expose/114553753
Etagenwohnung,54,2,565,1955,Waldschmidtstraße 85,60314,"Frankfurt am Main, Ostend",/expose/114557243
,30,1,565,,Theobald-Christ-Straße 11,60316,"Frankfurt am Main, Ostend",/expose/114550244
Etagenwohnung,62,2,800,,Schneidhainer Straße 6,61462,"Königstein im Taunus, Hochtaunuskreis",/expose/114550707
Erdgeschosswohnung,99,3,1190,1968,,64546,"Mörfelden, Mörfelden-Walldorf",/expose/114552459
Etagenwohnung,38,1,919,1970,,55116,"Mainz, Altstadt",/expose/114550318
Etagenwohnung,48,1,1050,2014,Gerbermühlstraße 25,60594,"Frankfurt am Main, Sachsenhausen-Nord",/expose/114556984
,89,3,1391,2015,Speicherstraße 26,60327,"Frankfurt am Main, Gutleutviertel",/expose/114554529
,112,4,1480,1925,,61184,"Karben, Wetteraukreis",/expose/114556788
,40,2,820,1975,,60318,"Frankfurt am Main, Nordend-West",/expose/114550604
Etagenwohnung,54,2,790,1996,,61118,"Bad Vilbel, Wetteraukreis",/expose/114554663
Etagenwohnung,115,4,1360,,Frankfurter Str. 44,63065,"Offenbach am Main, Stadtmitte",/expose/114551007
Etagenwohnung,90,3,1300,1760,Frankfurter Straße 44,63065,"Offenbach am Main, Stadtmitte",/expose/114550472
Etagenwohnung,60,3,1400,,Lange Straße 20,60311,"Frankfurt am Main, Innenstadt",/expose/114555383
Etagenwohnung,66,2,990,1900,Taunusstr. 43,63067,"Offenbach, Stadtmitte",/expose/114557261
,111,3,1501,2016,Saonestraße 17,60528,"Frankfurt am Main, Niederrad",/expose/114554533
,105,3,1606,2016,Saonestraße 13,60528,"Frankfurt am Main, Niederrad",/expose/114554532
Dachgeschoss,25,1,525,,Heidelberger Straße 81B,64285,"Darmstadt, Bessungen",/expose/114551290
Etagenwohnung,202,5,3350,1720,,60528,"Frankfurt, Niederrad",/expose/114554492
Etagenwohnung,138,,1980,2001,,65812,"Bad Soden, Bad Soden am Taunus",/expose/114550189
Etagenwohnung,84,3,1360,,,60388,"Frankfurt am Main, Bergen-Enkheim",/expose/114553753
Etagenwohnung,54,2,565,1955,Waldschmidtstraße 85,60314,"Frankfurt am Main, Ostend",/expose/114557243
,30,1,565,,Theobald-Christ-Straße 11,60316,"Frankfurt am Main, Ostend",/expose/114550244
Etagenwohnung,62,2,800,,Schneidhainer Straße 6,61462,"Königstein im Taunus, Hochtaunuskreis",/expose/114550707
Erdgeschosswohnung,99,3,1190,1968,,64546,"Mörfelden, Mörfelden-Walldorf",/expose/114552459
Etagenwohnung,38,1,919,1970,,55116,"Mainz, Altstadt",/expose/114550318
Etagenwohnung,48,1,1050,2014,Gerbermühlstraße 25,60594,"Frankfurt am Main, Sachsenhausen-Nord",/expose/114556984
,89,3,1391,2015,Speicherstraße 26,60327,"Frankfurt am Main, Gutleutviertel",/expose/114554529
,112,4,1480,1925,,61184,"Karben, Wetteraukreis",/expose/114556788
,40,2,820,1975,,60318,"Frankfurt am Main, Nordend-West",/expose/114550604
Etagenwohnung,54,2,790,1996,,61118,"Bad Vilbel, Wetteraukreis",/expose/114554663
Etagenwohnung,115,4,1360,,Frankfurter Str. 44,63065,"Offenbach am Main, Stadtmitte",/expose/114551007
Etagenwohnung,90,3,1300,1760,Frankfurter Straße 44,63065,"Offenbach am Main, Stadtmitte",/expose/114550472
Etagenwohnung,60,3,1400,,Lange Straße 20,60311,"Frankfurt am Main, Innenstadt",/expose/114555383
Etagenwohnung,66,2,990,1900,Taunusstr. 43,63067,"Offenbach, Stadtmitte",/expose/114557261
,111,3,1501,2016,Saonestraße 17,60528,"Frankfurt am Main, Niederrad",/expose/114554533
,105,3,1606,2016,Saonestraße 13,60528,"Frankfurt am Main, Niederrad",/expose/114554532
Dachgeschoss,25,1,525,,Heidelberger Straße 81B,64285,"Darmstadt, Bessungen",/expose/114551290
Etagenwohnung,202,5,3350,1720,,60528,"Frankfurt, Niederrad",/expose/114554492
Etagenwohnung,138,,1980,2001,,65812,"Bad Soden, Bad Soden am Taunus",/expose/114550189
Etagenwohnung,84,3,1360,,,60388,"Frankfurt am Main, Bergen-Enkheim",/expose/114553753
Etagenwohnung,54,2,565,1955,Waldschmidtstraße 85,60314,"Frankfurt am Main, Ostend",/expose/114557243
,30,1,565,,Theobald-Christ-Straße 11,60316,"Frankfurt am Main, Ostend",/expose/114550244
Etagenwohnung,62,2,800,,Schneidhainer Straße 6,61462,"Königstein im Taunus, Hochtaunuskreis",/expose/114550707
Erdgeschosswohnung,99,3,1190,1968,,64546,"Mörfelden, Mörfelden-Walldorf",/expose/114552459
Etagenwohnung,38,1,919,1970,,55116,"Mainz, Altstadt",/expose/114550318
Etagenwohnung,48,1,1050,2014,Gerbermühlstraße 25,60594,"Frankfurt am Main, Sachsenhausen-Nord",/expose/114556984
,89,3,1391,2015,Speicherstraße 26,60327,"Frankfurt am Main, Gutleutviertel",/expose/114554529
,112,4,1480,1925,,61184,"Karben, Wetteraukreis",/expose/114556788
,40,2,820,1975,,60318,"Frankfurt am Main, Nordend-West",/expose/114550604
Etagenwohnung,54,2,790,1996,,61118,"Bad Vilbel, Wetteraukreis",/expose/114554663
Etagenwohnung,115,4,1360,,Frankfurter Str. 44,63065,"Offenbach am Main, Stadtmitte",/expose/114551007
Etagenwohnung,90,3,1300,1760,Frankfurter Straße 44,63065,"Offenbach am Main, Stadtmitte",/expose/114550472
Etagenwohnung,60,3,1400,,Lange Straße 20,60311,"Frankfurt am Main, Innenstadt",/expose/114555383
Etagenwohnung,66,2,990,1900,Taunusstr. 43,63067,"Offenbach, Stadtmitte",/expose/114557261
,111,3,1501,2016,Saonestraße 17,60528,"Frankfurt am Main, Niederrad",/expose/114554533
,105,3,1606,2016,Saonestraße 13,60528,"Frankfurt am Main, Niederrad",/expose/114554532
Dachgeschoss,25,1,525,,Heidelberger Straße 81B,64285,"Darmstadt, Bessungen",/expose/114551290
Etagenwohnung,202,5,3350,1720,,60528,"Frankfurt, Niederrad",/expose/114554492
Etagenwohnung,138,,1980,2001,,65812,"Bad Soden, Bad Soden am Taunus",/expose/114550189
Etagenwohnung,84,3,1360,,,60388,"Frankfurt am Main, Bergen-Enkheim",/expose/114553753
Etagenwohnung,54,2,565,1955,Waldschmidtstraße 85,60314,"Frankfurt am Main, Ostend",/expose/114557243
,30,1,565,,Theobald-Christ-Straße 11,60316,"Frankfurt am Main, Ostend",/expose/114550244
Etagenwohnung,62,2,800,,Schneidhainer Straße 6,61462,"Königstein im Taunus, Hochtaunuskreis",/expose/114550707
Erdgeschosswohnung,99,3,1190,1968,,64546,"Mörfelden, Mörfelden-Walldorf",/expose/114552459
Etagenwohnung,38,1,919,1970,,55116,"Mainz, Altstadt",/expose/114550318
Etagenwohnung,48,1,1050,2014,Gerbermühlstraße 25,60594,"Frankfurt am Main, Sachsenhausen-Nord",/expose/114556984
,89,3,1391,2015,Speicherstraße 26,60327,"Frankfurt am Main, Gutleutviertel",/expose/114554529
,112,4,1480,1925,,61184,"Karben, Wetteraukreis",/expose/114556788
,40,2,820,1975,,60318,"Frankfurt am Main, Nordend-West",/expose/114550604
Etagenwohnung,54,2,790,1996,,61118,"Bad Vilbel, Wetteraukreis",/expose/114554663
Etagenwohnung,115,4,1360,,Frankfurter Str. 44,63065,"Offenbach am Main, Stadtmitte",/expose/114551007
Etagenwohnung,90,3,1300,1760,Frankfurter Straße 44,63065,"Offenbach am Main, Stadtmitte",/expose/114550472
Etagenwohnung,60,3,1400,,Lange Straße 20,60311,"Frankfurt am Main, Innenstadt",/expose/114555383
Etagenwohnung,66,2,990,1900,Taunusstr. 43,63067,"Offenbach, Stadtmitte",/expose/114557261
,111,3,1501,2016,Saonestraße 17,60528,"Frankfurt am Main, Niederrad",/expose/114554533
,105,3,1606,2016,Saonestraße 13,60528,"Frankfurt am Main, Niederrad",/expose/114554532
Dachgeschoss,25,1,525,,Heidelberger Straße 81B,64285,"Darmstadt, Bessungen",/expose/114551290
Etagenwohnung,202,5,3350,1720,,60528,"Frankfurt, Niederrad",/expose/114554492
Etagenwohnung,138,,1980,2001,,65812,"Bad Soden, Bad Soden am Taunus",/expose/114550189
Etagenwohnung,84,3,1360,,,60388,"Frankfurt am Main, Bergen-Enkheim",/expose/114553753
Etagenwohnung,54,2,565,1955,Waldschmidtstraße 85,60314,"Frankfurt am Main, Ostend",/expose/114557243
,30,1,565,,Theobald-Christ-Straße 11,60316,"Frankfurt am Main, Ostend",/expose/114550244
Etagenwohnung,62,2,800,,Schneidhainer Straße 6,61462,"Königstein im Taunus, Hochtaunuskreis",/expose/114550707
Erdgeschosswohnung,99,3,1190,1968,,64546,"Mörfelden, Mörfelden-Walldorf",/expose/114552459
Etagenwohnung,38,1,919,1970,,55116,"Mainz, Altstadt",/expose/114550318
Etagenwohnung,48,1,1050,2014,Gerbermühlstraße 25,60594,"Frankfurt am Main, Sachsenhausen-Nord",/expose/114556984
,89,3,1391,2015,Speicherstraße 26,60327,"Frankfurt am Main, Gutleutviertel",/expose/114554529
,112,4,1480,1925,,61184,"Karben, Wetteraukreis",/expose/114556788
,40,2,820,1975,,60318,"Frankfurt am Main, Nordend-West",/expose/114550604
Etagenwohnung,54,2,790,1996,,61118,"Bad Vilbel, Wetteraukreis",/expose/114554663
Etagenwohnung,115,4,1360,,Frankfurter Str. 44,63065,"Offenbach am Main, Stadtmitte",/expose/114551007
Etagenwohnung,90,3,1300,1760,Frankfurter Straße 44,63065,"Offenbach am Main, Stadtmitte",/expose/114550472
Etagenwohnung,60,3,1400,,Lange Straße 20,60311,"Frankfurt am Main, Innenstadt",/expose/114555383
Etagenwohnung,66,2,990,1900,Taunusstr. 43,63067,"Offenbach, Stadtmitte",/expose/114557261
,111,3,1501,2016,Saonestraße 17,60528,"Frankfurt am Main, Niederrad",/expose/114554533
,105,3,1606,2016,Saonestraße 13,60528,"Frankfurt am Main, Niederrad",/expose/114554532
Dachgeschoss,25,1,525,,Heidelberger Straße 81B,64285,"Darmstadt, Bessungen",/expose/114551290
Etagenwohnung,202,5,3350,1720,,60528,"Frankfurt, Niederrad",/expose/114554492
Etagenwohnung,138,,1980,2001,,65812,"Bad Soden, Bad Soden am Taunus",/expose/114550189
Etagenwohnung,84,3,1360,,,60388,"Frankfurt am Main, Bergen-Enkheim",/expose/114553753
Etagenwohnung,54,2,565,1955,Waldschmidtstraße 85,60314,"Frankfurt am Main, Ostend",/expose/114557243
,30,1,565,,Theobald-Christ-Straße 11,60316,"Frankfurt am Main, Ostend",/expose/114550244
Etagenwohnung,62,2,800,,Schneidhainer Straße 6,61462,"Königstein im Taunus, Hochtaunuskreis",/expose/114550707
Erdgeschosswohnung,99,3,1190,1968,,64546,"Mörfelden, Mörfelden-Walldorf",/expose/114552459
Etagenwohnung,38,1,919,1970,,55116,"Mainz, Altstadt",/expose/114550318
Etagenwohnung,48,1,1050,2014,Gerbermühlstraße 25,60594,"Frankfurt am Main, Sachsenhausen-Nord",/expose/114556984
,89,3,1391,2015,Speicherstraße 26,60327,"Frankfurt am Main, Gutleutviertel",/expose/114554529
,112,4,1480,1925,,61184,"Karben, Wetteraukreis",/expose/114556788
,40,2,820,1975,,60318,"Frankfurt am Main, Nordend-West",/expose/114550604
Etagenwohnung,54,2,790,1996,,61118,"Bad Vilbel, Wetteraukreis",/expose/114554663
Etagenwohnung,115,4,1360,,Frankfurter Str. 44,63065,"Offenbach am Main, Stadtmitte",/expose/114551007
Etagenwohnung,90,3,1300,1760,Frankfurter Straße 44,63065,"Offenbach am Main, Stadtmitte",/expose/114550472
Etagenwohnung,60,3,1400,,Lange Straße 20,60311,"Frankfurt am Main, Innenstadt",/expose/114555383
Etagenwohnung,66,2,990,1900,Taunusstr. 43,63067,"Offenbach, Stadtmitte",/expose/114557261
,111,3,1501,2016,Saonestraße 17,60528,"Frankfurt am Main, Niederrad",/expose/114554533
,105,3,1606,2016,Saonestraße 13,60528,"Frankfurt am Main, Niederrad",/expose/114554532
Dachgeschoss,25,1,525,,Heidelberger Straße 81B,64285,"Darmstadt, Bessungen",/expose/114551290
Etagenwohnung,202,5,3350,1720,,60528,"Frankfurt, Niederrad",/expose/114554492
Etagenwohnung,138,,1980,2001,,65812,"Bad Soden, Bad Soden am Taunus",/expose/114550189
Etagenwohnung,84,3,1360,,,60388,"Frankfurt am Main, Bergen-Enkheim",/expose/114553753
Etagenwohnung,54,2,565,1955,Waldschmidtstraße 85,60314,"Frankfurt am Main, Ostend",/expose/114557243
,30,1,565,,Theobald-Christ-Straße 11,60316,"Frankfurt am Main, Ostend",/expose/114550244
Etagenwohnung,62,2,800,,Schneidhainer Straße 6,61462,"Königstein im Taunus, Hochtaunuskreis",/expose/114550707
Erdgeschosswohnung,99,3,1190,1968,,64546,"Mörfelden, Mörfelden-Walldorf",/expose/114552459
Etagenwohnung,38,1,919,1970,,55116,"Mainz, Altstadt",/expose/114550318
Etagenwohnung,48,1,1050,2014,Gerbermühlstraße 25,60594,"Frankfurt am Main, Sachsenhausen-Nord",/expose/114556984
,89,3,1391,2015,Speicherstraße 26,60327,"Frankfurt am Main, Gutleutviertel",/expose/114554529
,112,4,1480,1925,,61184,"Karben, Wetteraukreis",/expose/114556788
,40,2,820,1975,,60318,"Frankfurt am Main, Nordend-West",/expose/114550604
Etagenwohnung,54,2,790,1996,,61118,"Bad Vilbel, Wetteraukreis",/expose/114554663
Etagenwohnung,115,4,1360,,Frankfurter Str. 44,63065,"Offenbach am Main, Stadtmitte",/expose/114551007
Etagenwohnung,90,3,1300,1760,Frankfurter Straße 44,63065,"Offenbach am Main, Stadtmitte",/expose/114550472
Etagenwohnung,60,3,1400,,Lange Straße 20,60311,"Frankfurt am Main, Innenstadt",/expose/114555383
Etagenwohnung,66,2,990,1900,Taunusstr. 43,63067,"Offenbach, Stadtmitte",/expose/114557261
,111,3,1501,2016,Saonestraße 17,60528,"Frankfurt am Main, Niederrad",/expose/114554533
,105,3,1606,2016,Saonestraße 13,60528,"Frankfurt am Main, Niederrad",/expose/114554532
Dachgeschoss,25,1,525,,Heidelberger Straße 81B,64285,"Darmstadt, Bessungen",/expose/114551290
Etagenwohnung,202,5,3350,1720,,60528,"Frankfurt, Niederrad",/expose/114554492
Etagenwohnung,138,,1980,2001,,65812,"Bad Soden, Bad Soden am Taunus",/expose/114550189
Etagenwohnung,84,3,1360,,,60388,"Frankfurt am Main, Bergen-Enkheim",/expose/114553753
Etagenwohnung,54,2,565,1955,Waldschmidtstraße 85,60314,"Frankfurt am Main, Ostend",/expose/114557243
,30,1,565,,Theobald-Christ-Straße 11,60316,"Frankfurt am Main, Ostend",/expose/114550244
Etagenwohnung,62,2,800,,Schneidhainer Straße 6,61462,"Königstein im Taunus, Hochtaunuskreis",/expose/114550707
Erdgeschosswohnung,99,3,1190,1968,,64546,"Mörfelden, Mörfelden-Walldorf",/expose/114552459
Etagenwohnung,38,1,919,1970,,55116,"Mainz, Altstadt",/expose/114550318
Etagenwohnung,48,1,1050,2014,Gerbermühlstraße 25,60594,"Frankfurt am Main, Sachsenhausen-Nord",/expose/114556984
,89,3,1391,2015,Speicherstraße 26,60327,"Frankfurt am Main, Gutleutviertel",/expose/114554529
,112,4,1480,1925,,61184,"Karben, Wetteraukreis",/expose/114556788
,40,2,820,1975,,60318,"Frankfurt am Main, Nordend-West",/expose/114550604
Etagenwohnung,54,2,790,1996,,61118,"Bad Vilbel, Wetteraukreis",/expose/114554663
Etagenwohnung,115,4,1360,,Frankfurter Str. 44,63065,"Offenbach am Main, Stadtmitte",/expose/114551007
Etagenwohnung,90,3,1300,1760,Frankfurter Straße 44,63065,"Offenbach am Main, Stadtmitte",/expose/114550472
Etagenwohnung,60,3,1400,,Lange Straße 20,60311,"Frankfurt am Main, Innenstadt",/expose/114555383
Etagenwohnung,66,2,990,1900,Taunusstr. 43,63067,"Offenbach, Stadtmitte",/expose/114557261
,111,3,1501,2016,Saonestraße 17,60528,"Frankfurt am Main, Niederrad",/expose/114554533
,105,3,1606,2016,Saonestraße 13,60528,"Frankfurt am Main, Niederrad",/expose/114554532
Dachgeschoss,25,1,525,,Heidelberger Straße 81B,64285,"Darmstadt, Bessungen",/expose/114551290
Etagenwohnung,202,5,3350,1720,,60528,"Frankfurt, Niederrad",/expose/114554492
Etagenwohnung,138,,1980,2001,,65812,"Bad Soden, Bad Soden am Taunus",/expose/114550189
Etagenwohnung,84,3,1360,,,60388,"Frankfurt am Main, Bergen-Enkheim",/expose/114553753
Etagenwohnung,54,2,565,1955,Waldschmidtstraße 85,60314,"Frankfurt am Main, Ostend",/expose/114557243
,30,1,565,,Theobald-Christ-Straße 11,60316,"Frankfurt am Main, Ostend",/expose/114550244
Etagenwohnung,62,2,800,,Schneidhainer Straße 6,61462,"Königstein im Taunus, Hochtaunuskreis",/expose/114550707
Erdgeschosswohnung,99,3,1190,1968,,64546,"Mörfelden, Mörfelden-Walldorf",/expose/114552459
Etagenwohnung,38,1,919,1970,,55116,"Mainz, Altstadt",/expose/114550318
Etagenwohnung,48,1,1050,2014,Gerbermühlstraße 25,60594,"Frankfurt am Main, Sachsenhausen-Nord",/expose/114556984
,89,3,1391,2015,Speicherstraße 26,60327,"Frankfurt am Main, Gutleutviertel",/expose/114554529
,112,4,1480,1925,,61184,"Karben, Wetteraukreis",/expose/114556788
,40,2,820,1975,,60318,"Frankfurt am Main, Nordend-West",/expose/114550604
Etagenwohnung,54,2,790,1996,,61118,"Bad Vilbel, Wetteraukreis",/expose/114554663
Etagenwohnung,115,4,1360,,Frankfurter Str. 44,63065,"Offenbach am Main, Stadtmitte",/expose/114551007
Etagenwohnung,90,3,1300,1760,Frankfurter Straße 44,63065,"Offenbach am Main, Stadtmitte",/expose/114550472
Etagenwohnung,60,3,1400,,Lange Straße 20,60311,"Frankfurt am Main, Innenstadt",/expose/114555383
Etagenwohnung,66,2,990,1900,Taunusstr. 43,63067,"Offenbach, Stadtmitte",/expose/114557261
,111,3,1501,2016,Saonestraße 17,60528,"Frankfurt am Main, Niederrad",/expose/114554533
,105,3,1606,2016,Saonestraße 13,60528,"Frankfurt am Main, Niederrad",/expose/114554532
Dachgeschoss,25,1,525,,Heidelberger Straße 81B,64285,"Darmstadt, Bessungen",/expose/114551290
Etagenwohnung,202,5,3350,1720,,60528,"Frankfurt, Niederrad",/expose/114554492
Etagenwohnung,138,,1980,2001,,65812,"Bad Soden, Bad Soden am Taunus",/expose/114550189
Etagenwohnung,84,3,1360,,,60388,"Frankfurt am Main, Bergen-Enkheim",/expose/114553753
Etagenwohnung,54,2,565,1955,Waldschmidtstraße 85,60314,"Frankfurt am Main, Ostend",/expose/114557243
,30,1,565,,Theobald-Christ-Straße 11,60316,"Frankfurt am Main, Ostend",/expose/114550244
Etagenwohnung,62,2,800,,Schneidhainer Straße 6,61462,"Königstein im Taunus, Hochtaunuskreis",/expose/114550707
Erdgeschosswohnung,99,3,1190,1968,,64546,"Mörfelden, Mörfelden-Walldorf",/expose/114552459
Etagenwohnung,38,1,919,1970,,55116,"Mainz, Altstadt",/expose/114550318
Etagenwohnung,48,1,1050,2014,Gerbermühlstraße 25,60594,"Frankfurt am Main, Sachsenhausen-Nord",/expose/114556984
,89,3,1391,2015,Speicherstraße 26,60327,"Frankfurt am Main, Gutleutviertel",/expose/114554529
,112,4,1480,1925,,61184,"Karben, Wetteraukreis",/expose/114556788
,40,2,820,1975,,60318,"Frankfurt am Main, Nordend-West",/expose/114550604
Etagenwohnung,54,2,790,1996,,61118,"Bad Vilbel, Wetteraukreis",/expose/114554663
Etagenwohnung,115,4,1360,,Frankfurter Str. 44,63065,"Offenbach am Main, Stadtmitte",/expose/114551007
Etagenwohnung,90,3,1300,1760,Frankfurter Straße 44,63065,"Offenbach am Main, Stadtmitte",/expose/114550472
Etagenwohnung,60,3,1400,,Lange Straße 20,60311,"Frankfurt am Main, Innenstadt",/expose/114555383
Etagenwohnung,66,2,990,1900,Taunusstr. 43,63067,"Offenbach, Stadtmitte",/expose/114557261
,111,3,1501,2016,Saonestraße 17,60528,"Frankfurt am Main, Niederrad",/expose/114554533
,105,3,1606,2016,Saonestraße 13,60528,"Frankfurt am Main, Niederrad",/expose/114554532
Dachgeschoss,25,1,525,,Heidelberger Straße 81B,64285,"Darmstadt, Bessungen",/expose/114551290
Etagenwohnung,202,5,3350,1720,,60528,"Frankfurt, Niederrad",/expose/114554492
Etagenwohnung,138,,1980,2001,,65812,"Bad Soden, Bad Soden am Taunus",/expose/114550189
Etagenwohnung,84,3,1360,,,60388,"Frankfurt am Main, Bergen-Enkheim",/expose/114553753
Etagenwohnung,54,2,565,1955,Waldschmidtstraße 85,60314,"Frankfurt am Main, Ostend",/expose/114557243
,30,1,565,,Theobald-Christ-Straße 11,60316,"Frankfurt am Main, Ostend",/expose/114550244
Etagenwohnung,62,2,800,,Schneidhainer Straße 6,61462,"Königstein im Taunus, Hochtaunuskreis",/expose/114550707
